time,code,open,close,high,low,volume,money
2017-07-14,ZN8888.XSGE,23271.478,22900.116,23282.49,22760.427000000003,725960.0,83360542750.0
2017-07-14,FB8888.XDCE,75.567,74.6,76.067,74.3,10.0,372100.0
2017-07-14,OI8888.XZCE,6611.666,6578.304,6626.298000000001,6524.723000000001,259826.0,16994963300.0
2017-07-14,BU8888.XSGE,2497.899,2528.583,2547.545,2464.594,1359550.0,34110776720.0
2017-07-14,AU8888.XSGE,271.589,270.742,271.589,269.947,114190.0,30902401300.0
2017-07-14,FG8888.XZCE,1357.4679999999998,1348.662,1360.8220000000001,1341.556,225808.0,6121079000.0
2017-07-14,SM8888.XZCE,6565.503000000001,6585.262,6613.088000000001,6521.556,79428.0,2610993400.0
2017-07-14,ZC8888.XZCE,593.405,592.222,597.07,588.151,225600.0,13422064300.0
2017-07-14,NI8888.XSGE,76383.32,76857.547,77069.023,75573.053,469432.0,35769558160.0
2017-07-14,LR8888.XZCE,2810.0,2901.0,3022.0,2807.0,22.0,1277300.0
2017-07-14,TA8888.XZCE,5267.254,5329.951,5347.713000000001,5237.487,2185442.0,58083948200.0
2017-07-14,SR8888.XZCE,6262.653,6278.927,6300.67,6243.065,666004.0,41747467200.0
2017-07-14,IC8888.CCFX,6054.518,6042.8,6074.194,6017.295,12400.0,15082681880.0
2017-07-14,PM8888.XZCE,2472.0,2472.0,2472.0,2472.0,0.0,0.0
2017-07-14,AL8888.XSGE,14401.641000000001,14364.786,14520.282,14330.607,393082.0,28348189950.0
2017-07-14,P8888.XDCE,5340.69,5301.344,5348.138000000001,5266.263000000001,536300.0,28635983200.0
2017-07-14,RU8888.XSGE,13716.481000000002,13890.66,13928.465,13457.823,1124412.0,153309801900.0
2017-07-17,RI8888.XZCE,2733.813,2740.375,2740.375,2733.813,8.0,436600.0
2017-07-17,RS8888.XZCE,5293.0,5199.0,5293.0,5199.0,26.0,1360900.0
2017-07-17,JD8888.XDCE,3817.1020000000003,3873.236,3900.789,3789.051,485878.0,18586524500.0
2017-07-17,LR8888.XZCE,2901.0,2901.0,2901.0,2901.0,0.0,0.0
2017-07-17,Y8888.XDCE,6136.397,6139.265,6176.432,6122.172,421746.0,25860508800.0
2017-07-17,RU8888.XSGE,13891.628,13935.716999999999,14151.888,13815.86,1033774.0,143723627000.0
2017-07-17,IH8888.CCFX,2626.195,2628.17,2659.974,2598.156,16521.0,13042182240.0
2017-07-17,FG8888.XZCE,1350.4229999999998,1371.7620000000002,1382.836,1348.595,325750.0,8948033200.0
2017-07-17,AG8888.XSGE,3840.386,3844.603,3867.572,3820.607,555546.0,32008913250.0
2017-07-17,OI8888.XZCE,6596.56,6632.794,6649.9890000000005,6592.446,199220.0,13094271500.0
2017-07-17,BB8888.XDCE,114.475,114.475,114.475,114.475,0.0,0.0
2017-07-17,M8888.XDCE,2818.385,2813.134,2833.425,2805.954,1350206.0,38057490900.0
2017-07-17,JR8888.XZCE,3319.0,3319.0,3319.0,3319.0,0.0,0.0
2017-07-17,RM8888.XZCE,2307.9179999999997,2299.746,2321.252,2295.2039999999997,612306.0,14274815400.0
2017-07-17,CF8888.XZCE,15050.718,15180.321000000002,15187.749,15025.553999999998,152700.0,11615714500.0
2017-07-17,C8888.XDCE,1683.161,1700.902,1703.624,1673.5439999999999,1199874.0,20202589200.0
2017-07-17,SN8888.XSGE,143792.779,145500.44400000002,145839.126,143369.665,17028.0,2463746640.0
2017-07-17,ZC8888.XZCE,592.466,606.543,609.2040000000001,590.195,319664.0,19353169800.0
2017-07-17,JM8888.XDCE,1159.32,1207.461,1218.57,1155.75,271504.0,19519338500.0
2017-07-17,PB8888.XSGE,17667.698,17819.405,17869.912,17555.023999999998,61564.0,5467904500.0
2017-07-17,IC8888.CCFX,6033.15,5780.38,6038.9890000000005,5775.672,18883.0,22331953440.0
2017-07-17,RB8888.XSGE,3493.829,3583.866,3622.1090000000004,3492.3379999999997,7683110.0,276051033420.0
2017-07-17,NI8888.XSGE,77232.916,79355.274,79724.753,77158.314,692440.0,54381073500.0
2017-07-17,ZN8888.XSGE,22824.596,23298.298,23375.754,22798.48,784384.0,90399949000.0
2017-07-17,AU8888.XSGE,273.216,273.091,273.534,272.394,164398.0,44865035800.0
2017-07-17,T8888.CCFX,95.441,95.41,95.664,95.35600000000001,48522.0,46341033600.0
2017-07-17,SF8888.XZCE,5612.8240000000005,5745.420999999999,5781.931,5612.8240000000005,30996.0,902303900.0
2017-07-17,TF8888.CCFX,97.917,97.82799999999999,98.00299999999999,97.807,16596.0,16255425400.0
2017-07-17,J8888.XDCE,1821.3229999999999,1881.339,1885.193,1819.826,220484.0,41242192000.0
2017-07-17,V8888.XDCE,6523.318,6470.274,6556.183000000001,6435.026,269352.0,8811831900.0
2017-07-17,SR8888.XZCE,6275.371,6195.174,6286.549,6191.72,611844.0,38229967600.0
2017-07-17,CS8888.XDCE,2002.4070000000002,2009.78,2010.0729999999999,1973.1170000000002,490688.0,9791605700.0
2017-07-17,BU8888.XSGE,2535.547,2589.834,2600.1929999999998,2527.173,1064094.0,27280364320.0
2017-07-17,TA8888.XZCE,5325.524,5326.576999999999,5416.605,5301.039000000001,2514172.0,67651414200.0
2017-07-17,SM8888.XZCE,6652.203,6963.41,6964.871999999999,6572.153,239286.0,8214660200.0
2017-07-17,WR8888.XSGE,2882.5820000000003,2882.5820000000003,2882.5820000000003,2882.5820000000003,0.0,0.0
2017-07-17,CU8888.XSGE,47372.332,48008.119000000006,48153.488,47333.264,424128.0,100869390500.0
2017-07-17,IF8888.CCFX,3683.038,3634.778,3692.704,3615.938,22562.0,24796792860.0
2017-07-17,PP8888.XDCE,8144.420999999999,8124.257,8259.603000000001,8098.249,643386.0,26326452200.0
2017-07-17,I8888.XDCE,477.728,488.976,494.80800000000005,476.536,2642428.0,129205633200.0
2017-07-17,MA8888.XZCE,2483.98,2488.548,2515.263,2433.718,1206990.0,30038123500.0
2017-07-17,A8888.XDCE,3836.417,3821.6009999999997,3852.058,3804.187,220172.0,8423270100.0
2017-07-17,FB8888.XDCE,75.069,75.0,75.935,74.204,40.0,1490100.0
2017-07-17,PM8888.XZCE,2472.0,2472.0,2472.0,2472.0,0.0,0.0
2017-07-17,WH8888.XZCE,2622.018,2627.385,2636.3309999999997,2615.849,2422.0,127905800.0
2017-07-17,HC8888.XSGE,3566.7059999999997,3672.3509999999997,3698.6859999999997,3563.587,1020292.0,37412754620.0
2017-07-17,P8888.XDCE,5322.433000000001,5328.008000000001,5375.853,5312.363,500472.0,26914963800.0
2017-07-17,B8888.XDCE,3301.855,3313.722,3327.567,3301.855,26.0,860900.0
2017-07-17,FU8888.XSGE,3784.2,3813.0,3813.0,3784.2,4.0,761000.0
2017-07-17,L8888.XDCE,9167.686,9148.573,9262.414,9133.963,593616.0,27334867700.0
2017-07-17,AL8888.XSGE,14356.243999999999,14496.312,14544.26,14351.158000000001,364460.0,26381848200.0
2017-07-18,C8888.XDCE,1705.529,1699.4260000000002,1708.23,1693.652,886018.0,15039874200.0
2017-07-18,L8888.XDCE,9165.206,9198.373,9245.338,9148.169,424052.0,19522510500.0
2017-07-18,RM8888.XZCE,2313.931,2308.6220000000003,2323.323,2292.674,586722.0,13671821900.0
2017-07-18,BU8888.XSGE,2589.4770000000003,2581.376,2613.798,2570.313,709568.0,18312439800.0
2017-07-18,FB8888.XDCE,74.62899999999999,74.471,74.62899999999999,74.471,4.0,147900.0
2017-07-18,CU8888.XSGE,48216.449,47890.435,48313.515,47776.187999999995,336692.0,80599384000.0
2017-07-18,LR8888.XZCE,2903.0,2903.0,2903.0,2903.0,0.0,0.0
2017-07-18,OI8888.XZCE,6635.069,6615.674,6692.547,6600.831999999999,272120.0,17977503900.0
2017-07-18,JD8888.XDCE,3885.884,3904.4829999999997,3929.672,3869.16,385258.0,15062456400.0
2017-07-18,RB8888.XSGE,3583.813,3543.3740000000003,3607.638,3530.09,7262288.0,261033408560.0
2017-07-18,JM8888.XDCE,1207.048,1226.279,1238.665,1200.684,287132.0,21212199000.0
2017-07-18,ZN8888.XSGE,23260.031000000003,22957.84,23342.321,22837.055,624852.0,72307177150.0
2017-07-18,WR8888.XSGE,2903.546,2930.728,2930.091,2903.546,4.0,118160.0
2017-07-18,B8888.XDCE,3311.743,3312.732,3322.6209999999996,3309.765,24.0,795200.0
2017-07-18,IH8888.CCFX,2625.893,2615.6929999999998,2638.238,2596.263,15540.0,12212194320.0
2017-07-18,IF8888.CCFX,3632.29,3635.765,3650.7940000000003,3606.5840000000003,21659.0,23656210680.0
2017-07-18,T8888.CCFX,95.3,95.137,95.302,95.03,45784.0,43568227250.0
2017-07-18,I8888.XDCE,491.10900000000004,509.32,516.082,490.51300000000003,3323544.0,169281910900.0
2017-07-18,FU8888.XSGE,3813.0,3798.6,3813.0,3813.0,0.0,0.0
2017-07-18,JR8888.XZCE,3321.0,3321.0,3321.0,3321.0,0.0,0.0
2017-07-18,BB8888.XDCE,114.475,114.475,114.475,114.475,0.0,0.0
2017-07-18,A8888.XDCE,3831.5559999999996,3833.9240000000004,3846.5690000000004,3816.884,149290.0,5714425900.0
2017-07-18,RU8888.XSGE,13967.696000000002,13977.943000000001,14179.42,13817.556,995204.0,139778652700.0
2017-07-18,PM8888.XZCE,2472.0,2472.0,2472.0,2472.0,0.0,0.0
2017-07-18,MA8888.XZCE,2486.141,2513.8579999999997,2544.54,2482.09,1305626.0,32859433700.0
2017-07-18,PP8888.XDCE,8137.5380000000005,8190.7,8257.386,8133.889,427168.0,17506769000.0
2017-07-18,RS8888.XZCE,5350.0,5249.0,5350.0,4900.0,46.0,2401600.0
2017-07-18,ZC8888.XZCE,606.974,606.014,608.516,601.1080000000001,199094.0,12084243500.0
2017-07-18,Y8888.XDCE,6150.155,6113.24,6200.954000000001,6097.313,482922.0,29603156200.0
2017-07-18,SM8888.XZCE,6992.185,7035.951999999999,7215.007,6992.079000000001,309068.0,10985960600.0
2017-07-18,RI8888.XZCE,2744.6059999999998,2734.272,2744.6059999999998,2726.757,14.0,763800.0
2017-07-18,HC8888.XSGE,3668.656,3632.453,3685.407,3618.717,822878.0,30176223700.0
2017-07-18,AL8888.XSGE,14501.719,14360.688999999998,14513.603000000001,14302.365,266278.0,19190509550.0
2017-07-18,SN8888.XSGE,145499.475,145637.835,145830.67,144435.966,13242.0,1922382720.0
2017-07-18,J8888.XDCE,1881.168,1872.987,1892.629,1858.286,173964.0,32766470800.0
2017-07-18,AG8888.XSGE,3868.8140000000003,3849.867,3878.828,3839.9,408830.0,23698860270.0
2017-07-18,SF8888.XZCE,5738.09,5736.931,5852.564,5684.311,39518.0,1162160700.0
2017-07-18,TF8888.CCFX,97.796,97.70700000000001,97.79700000000001,97.61399999999999,18287.0,17866474800.0
2017-07-18,CF8888.XZCE,15152.327,15335.5,15395.088,15141.518999999998,231630.0,17779774000.0
2017-07-18,V8888.XDCE,6484.265,6564.977,6600.243,6413.717,366306.0,12053719400.0
2017-07-18,SR8888.XZCE,6185.849,6250.749,6279.599,6178.651999999999,615082.0,38382801600.0
2017-07-18,NI8888.XSGE,79448.864,79213.318,80196.853,78734.475,503500.0,40010507140.0
2017-07-18,P8888.XDCE,5331.084,5260.611999999999,5363.589,5253.635,731642.0,39071398900.0
2017-07-18,M8888.XDCE,2826.2659999999996,2830.883,2841.917,2815.011,1303714.0,36887611300.0
2017-07-18,WH8888.XZCE,2636.12,2631.928,2640.317,2624.571,1636.0,86535700.0
2017-07-18,CS8888.XDCE,2011.9620000000002,2016.774,2025.649,2005.215,439488.0,8868748500.0
2017-07-18,IC8888.CCFX,5783.798000000001,5844.65,5849.658,5767.398,19677.0,22989655080.0
2017-07-18,AU8888.XSGE,273.788,273.789,274.486,273.594,127190.0,34841802900.0
2017-07-18,TA8888.XZCE,5320.967,5336.3330000000005,5375.0109999999995,5304.54,1166616.0,31383165800.0
2017-07-18,FG8888.XZCE,1373.5,1372.817,1385.457,1362.5479999999998,208670.0,5749216600.0
2017-07-18,PB8888.XSGE,17768.825,17621.852,17913.754,17500.979,73032.0,6470774200.0
2017-07-19,TA8888.XZCE,5348.831999999999,5324.043000000001,5362.206999999999,5293.118,1356656.0,36445676600.0
2017-07-19,RS8888.XZCE,5249.0,5249.0,5249.0,5249.0,0.0,0.0
2017-07-19,SN8888.XSGE,145670.989,147456.465,148283.447,145666.975,39884.0,5860910480.0
2017-07-19,PB8888.XSGE,17555.909,17523.16,17622.54,17409.933,71218.0,6240786000.0
2017-07-19,MA8888.XZCE,2521.129,2527.485,2534.159,2506.058,961528.0,24247141600.0
2017-07-19,CS8888.XDCE,2017.154,1996.006,2024.132,1995.985,398346.0,8010191000.0
2017-07-19,HC8888.XSGE,3651.111,3705.187,3717.87,3636.623,838322.0,31018726100.0
2017-07-19,AG8888.XSGE,3865.995,3859.895,3870.929,3845.9390000000003,368056.0,21306210030.0
2017-07-19,JM8888.XDCE,1227.556,1237.711,1277.4589999999998,1223.943,350274.0,26596265400.0
2017-07-19,BB8888.XDCE,114.475,114.475,114.475,114.475,0.0,0.0
